,        Gross domestic product,Exports of goods and services and income receipts (credits),Imports of goods and services and income payments (debits),Net U.S. acquisition of financial assets excluding financial derivatives (net increase in assets / financial outflow (+)),  Direct investment assets,  Portfolio investment assets,Net U.S. incurrence of liabilities excluding financial derivatives (net increase in liabilities / financial inflow (+)),  Direct investment liabilities,  Portfolio investment liabilities
,16358.9,780794,879896,141255,99550,60047,272707,68290,266708
2013,16569.6,793079,887384,210580,71598,152224,254612,34990,150986
,16637.9,797429,888220,213971,133143,168818,246729,99521,-8446
,16848.7,802649,890765,23770,96977,14954,172282,77985,200041
,17083.1,819833,895423,201267,91078,145302,378445,75636,169406
2014,17102.9,824566,914098,184935,65689,102090,304716,-70755,248795
,17425.8,845262,931372,218946,84094,204484,296701,79586,92657
,17719.8,839515,927323,338760,109301,128515,372915,115220,230481
,17838.5,832425,934174,123881,128445,147587,135110,127806,125673
2015,17970.4,807192,908792,348283,88547,221847,429374,243726,107435
,18221.3,815527,912525,46345,92779,113617,181700,116973,243152
,18331.1,803253,912802,-74432,51137,-97440,-37175,69900,-146760
,18354.4,781317,880933,-117988,74594,-77613,-72777,78489,10083
2016,18409.1,773406,885307,39781,76062,-64312,152172,158914,-52832
,18640.7,792356,895413,350387,103425,147012,368537,186295,4783
,18799.6,803622,912949,40432,95894,-33346,243723,130934,217768
,18979.2,814399,922987,-81975,37593,-13071,-22901,18312,61630
2017,19162.6,834569,942278,366101,135054,141783,429098,112354,160111
,19359.1,839280,961117,315922,49976,180700,445338,97118,263170
,19588.1,868997,972445,373591,102936,175910,504082,107107,294275
,19831.8,890393,1006541,127135,91256,88301,159164,38250,81626
2018,20041,903027,1026950,251218,-139234,304094,440981,57850,301503
,20411.9,934221,1037789,-199905,-68023,-14272,-63211,16551,20596
,20658.2,930192,1056796,78338,60396,70072,102926,104506,10760
,20865.1,934254,1068631,171967,96229,-149565,320216,88175,-12853
