observation_date,CPI,IP,MB,M1,M2
9/1/1998,163.5,88.4562,531.331,1079.9,4257.7
10/1/1998,163.9,89.1686,536.004,1086,4297.8
11/1/1998,164.1,89.1127,538.87,1094.9,4336.8
12/1/1998,164.4,89.4388,541.643,1095,4365.7
1/1/1999,164.7,89.8617,547.143,1098.1,4393.1
2/1/1999,164.7,90.3253,551.626,1096.7,4415.8
3/1/1999,164.8,90.4709,555.875,1096.6,4422.7
4/1/1999,165.9,90.7285,558.941,1101.6,4451.3
5/1/1999,166,91.3499,565.079,1103.8,4475.5
6/1/1999,166,91.199,567.568,1099.8,4497.3
7/1/1999,166.7,91.7767,569.079,1099.1,4524.6
8/1/1999,167.1,92.1675,572.503,1099.2,4541.8
9/1/1999,167.8,91.7812,580.197,1096.5,4557.9
10/1/1999,168.1,92.9976,589.803,1103.3,4581.6
11/1/1999,168.4,93.444,604.237,1110.7,4600.6
12/1/1999,168.8,94.1555,628.121,1122.2,4628.1
1/1/2000,169.3,94.1717,618.603,1122.2,4656.3
2/1/2000,170,94.4329,602.285,1108.6,4669.6
3/1/2000,171,94.7926,600.018,1107.5,4700.4
4/1/2000,170.9,95.4898,601.789,1115.6,4756.2
5/1/2000,171.2,95.6421,604.233,1104.9,4743.7
6/1/2000,172.2,95.7364,605.473,1102.6,4761.5
7/1/2000,172.7,95.5982,606.453,1103.5,4779
8/1/2000,172.7,95.3172,605.651,1100.2,4807.2
9/1/2000,173.6,95.6844,606.409,1099.7,4842.8
10/1/2000,173.9,95.3974,610.39,1098.7,4858.8
11/1/2000,174.2,95.4158,611.281,1092.4,4869.7
12/1/2000,174.6,95.1619,612.766,1088.6,4914.4
1/1/2001,175.6,94.5502,616.736,1096.7,4965
2/1/2001,176,93.9755,619.425,1101.2,5003.2
3/1/2001,176.1,93.7253,622.211,1108.9,5061.1
4/1/2001,176.4,93.4567,625.428,1116.7,5125
5/1/2001,177.3,92.8842,630.352,1118.5,5121.8
6/1/2001,177.7,92.3317,632.623,1126.2,5162.1
7/1/2001,177.4,91.8098,638.38,1138.9,5192
8/1/2001,177.4,91.6849,645.828,1150.2,5225.9
9/1/2001,178.1,91.3345,671.483,1205.7,5336.5
10/1/2001,177.6,90.9389,663.791,1165.7,5323
11/1/2001,177.5,90.4853,661.227,1171,5366.5
12/1/2001,177.4,90.515,665.58,1183.2,5419.6
1/1/2002,177.7,91.0881,673.731,1190.7,5440.1
2/1/2002,178,91.0698,681.875,1190.6,5469.6
3/1/2002,178.5,91.8012,685.137,1193.3,5481.6
4/1/2002,179.3,92.1815,688.997,1186.9,5481.6
5/1/2002,179.5,92.5668,692.751,1189.3,5507.2
6/1/2002,179.6,93.4503,697.001,1193.3,5532.2
7/1/2002,180,93.2282,700.996,1199.1,5574.8
8/1/2002,180.5,93.227,702.801,1187.1,5617.3
9/1/2002,180.8,93.3597,704.272,1196.1,5641.8
10/1/2002,181.2,93.0804,710.71,1204,5686.3
11/1/2002,181.5,93.5589,712.616,1209.6,5736.3
12/1/2002,181.8,93.1088,714.044,1220.2,5757.5
1/1/2003,182.6,93.6494,719.608,1227.3,5790.4
2/1/2003,183.6,93.9475,728.914,1238.2,5826.7
3/1/2003,183.9,93.735,732.459,1239.3,5847.3
4/1/2003,183.2,93.0815,736.665,1250,5884.8
5/1/2003,182.9,93.1002,738.865,1268.8,5945.1
6/1/2003,183.1,93.2544,739.918,1281,5981.7
7/1/2003,183.7,93.6579,741.596,1287.5,6028.4
8/1/2003,184.5,93.5162,745.667,1296.4,6086.5
9/1/2003,185.1,94.0695,745.839,1297.2,6058.3
10/1/2003,184.9,94.2091,753.935,1297.8,6049.4
11/1/2003,185,94.937,754.991,1299.1,6054.5
12/1/2003,185.5,94.8627,752.96,1306.2,6052.6
1/1/2004,186.3,95.1113,756.824,1306,6061.1
2/1/2004,186.7,95.6793,763.246,1321.4,6100.2
3/1/2004,187.1,95.2063,764.406,1328.7,6136
4/1/2004,187.4,95.6346,768.08,1332.8,6177.1
5/1/2004,188.2,96.3952,770.188,1333.3,6254
6/1/2004,188.9,95.6045,775.422,1342.7,6256.3
7/1/2004,189.1,96.3379,780.963,1340.8,6270
8/1/2004,189.2,96.4107,781.823,1354.3,6296.3
9/1/2004,189.8,96.4943,786.294,1362.5,6331
10/1/2004,190.8,97.4107,792.217,1362.3,6359.2
11/1/2004,191.7,97.6207,793.882,1374.2,6385.7
12/1/2004,191.7,98.3284,787.963,1376,6404.3
1/1/2005,191.6,98.7904,793.817,1367.1,6410.6
2/1/2005,192.4,99.455,800.427,1371.1,6419
3/1/2005,193.1,99.3156,800.915,1370.8,6427.9
4/1/2005,193.7,99.4648,802.33,1358.4,6442
5/1/2005,193.6,99.597,800.439,1366,6459.2
6/1/2005,193.7,99.9838,804.953,1380.1,6491.6
7/1/2005,194.9,99.6737,806.606,1369,6523.2
8/1/2005,196.1,99.9451,808.065,1378,6556
9/1/2005,198.8,98.0824,812.429,1378.6,6589.8
10/1/2005,199.1,99.3185,816.732,1376.6,6624.1
