xDatex,PUS,PMX,RUS,RMX
7-Sep,208.547,64.077703000000,4.94,5.08
7-Oct,209.19,64.327405000000,4.76,5.14
7-Nov,210.834,64.781221000000,4.49,5.26
7-Dec,211.445,65.049056000000,4.24,5.13
8-Jan,212.174,65.350564000000,3.94,5.20
8-Feb,212.687,65.544834000000,2.98,5.39
8-Mar,213.448,66.019891000000,2.61,5.41
8-Apr,213.942,66.170127000000,2.28,5.45
8-May,215.208,66.098635000000,1.98,5.48
8-Jun,217.463,66.372168000000,2.00,5.53
8-Jul,219.016,66.742059000000,2.01,5.69
8-Aug,218.69,67.127492000000,2.00,5.85
8-Sep,218.877,67.584935000000,1.81,5.99
8-Oct,216.995,68.045486000000,0.97,6.09
8-Nov,213.153,68.818942000000,0.39,6.17
8-Dec,211.398,69.295552000000,0.16,6.02
9-Jan,211.933,69.456149000000,0.15,5.82
9-Feb,212.705,69.609494000000,0.22,5.58
9-Mar,212.495,70.009950000000,0.18,5.37
9-Apr,212.709,70.254990000000,0.15,4.95
9-May,213.022,70.050358000000,0.18,4.38
9-Jun,214.79,70.179354000000,0.21,3.95
9-Jul,214.726,70.370516000000,0.16,3.63
9-Aug,215.445,70.538884000000,0.16,3.47
9-Sep,215.861,70.892716000000,0.15,3.46
9-Oct,216.509,71.107191000000,0.12,3.47
9-Nov,217.234,71.476046000000,0.12,3.45
9-Dec,217.347,71.771855000000,0.12,3.42
10-Jan,217.488,72.552046000000,0.11,3.44
10-Feb,217.281,72.971671000000,0.13,3.41
10-Mar,217.353,73.489725000000,0.16,3.40
10-Apr,217.403,73.255565000000,0.20,3.40
10-May,217.29,72.793978000000,0.20,3.40
10-Jun,217.199,72.771183000000,0.18,3.43
10-Jul,217.605,72.929190000000,0.18,3.43
10-Aug,217.923,73.131750000000,0.19,3.45
10-Sep,218.275,73.515110000000,0.19,3.47
10-Oct,219.035,73.968926000000,0.19,3.44
10-Nov,219.59,74.561581000000,0.19,3.35
10-Dec,220.472,74.930954000000,0.18,3.28
11-Jan,221.187,75.295991000000,0.17,3.29
11-Feb,221.898,75.578460000000,0.16,3.31
11-Mar,223.046,75.723451000000,0.14,3.34
11-Apr,224.093,75.717441000000,0.10,3.38
11-May,224.806,75.159264000000,0.09,3.35
11-Jun,224.806,75.155508000000,0.09,3.38
11-Jul,225.395,75.516107000000,0.07,3.39
11-Aug,226.106,75.635555000000,0.10,3.33
11-Sep,226.597,75.821113000000,0.08,3.33
11-Oct,226.75,76.332712000000,0.07,3.35
11-Nov,227.169,77.158333000000,0.08,3.32
11-Dec,227.223,77.792385000000,0.07,3.26
12-Jan,227.842,78.343049000000,0.08,3.23
12-Feb,228.329,78.502314000000,0.10,3.26
12-Mar,228.807,78.547389000000,0.13,3.26
12-Apr,229.187,78.300980000000,0.14,3.28
12-May,228.713,78.053819000000,0.16,3.25
12-Jun,228.524,78.413667000000,0.16,3.24
12-Jul,228.59,78.853897000000,0.16,3.22
12-Aug,229.918,79.090540000000,0.13,3.22
12-Sep,231.015,79.439119000000,0.14,3.26
12-Oct,231.638,79.841036000000,0.16,3.28
12-Nov,231.249,80.383437000000,0.16,3.30
12-Dec,231.221,80.568243000000,0.16,3.25
13-Jan,231.679,80.892782000000,0.14,3.24
13-Feb,232.937,81.290943000000,0.15,3.29
13-Mar,232.282,81.887433000000,0.14,3.18
13-Apr,231.797,81.941523000000,0.15,3.03
13-May,231.893,81.668820000000,0.11,2.99
13-Jun,232.445,81.619238000000,0.09,2.97
13-Jul,232.9,81.592193000000,0.09,2.94
